acc_train,acc_val,loss_train,loss_val,layers_units,learning_rate
"[0.07227499783039093, 0.133200004696846, 0.16442500054836273, 0.18217499554157257, 0.20229999721050262, 0.21649999916553497, 0.23109999299049377]","[0.10580000281333923, 0.14949999749660492, 0.16509999334812164, 0.18019999563694, 0.18549999594688416, 0.19689999520778656, 0.2021999955177307]","[4.131595134735107, 3.724886417388916, 3.553469181060791, 3.4392409324645996, 3.3407669067382812, 3.255622148513794, 3.1799652576446533]","[3.891324281692505, 3.666038990020752, 3.5692265033721924, 3.483825445175171, 3.430772304534912, 3.372421979904175, 3.3534140586853027]","[1024, 128, 1024]",0.0001
"[0.008574999868869781, 0.009399999864399433, 0.010224999859929085, 0.008975000120699406, 0.009650000371038914, 0.009425000287592411, 0.009875000454485416]","[0.008299999870359898, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749]","[4.6079421043396, 4.6057329177856445, 4.605672836303711, 4.605657577514648, 4.605663776397705, 4.605668544769287, 4.605653762817383]","[4.606433391571045, 4.607151985168457, 4.607644557952881, 4.607819557189941, 4.60785436630249, 4.6078972816467285, 4.60788631439209]","[1024, 128, 1024]",0.001
"[0.009325000457465649, 0.01054999977350235, 0.009349999949336052, 0.009724999777972698, 0.009575000032782555, 0.010174999944865704, 0.009724999777972698]","[0.010900000110268593, 0.00839999970048666, 0.008799999952316284, 0.011300000362098217, 0.008700000122189522, 0.008299999870359898, 0.009200000204145908]","[4.767585277557373, 4.610258102416992, 4.6098809242248535, 4.610531806945801, 4.610311985015869, 4.610255718231201, 4.610527992248535]","[4.609270095825195, 4.611265182495117, 4.612676620483398, 4.6100172996521, 4.610265731811523, 4.611085414886475, 4.610888481140137]","[1024, 128, 1024]",0.01
"[0.05327500030398369, 0.11469999700784683, 0.14327499270439148, 0.1657000035047531, 0.18404999375343323, 0.2001499980688095, 0.21324999630451202]","[0.0908999964594841, 0.1168999969959259, 0.15199999511241913, 0.16429999470710754, 0.17319999635219574, 0.17980000376701355, 0.19519999623298645]","[4.281839847564697, 3.8664703369140625, 3.688526153564453, 3.568725824356079, 3.468512773513794, 3.380645275115967, 3.300833225250244]","[4.012794017791748, 3.824655771255493, 3.6592752933502197, 3.589951276779175, 3.504904270172119, 3.479900360107422, 3.413294553756714]","[1024, 512, 128]",0.0001
"[0.008975000120699406, 0.00917499978095293, 0.009724999777972698, 0.009850000031292439, 0.00865000020712614, 0.009449999779462814, 0.010049999691545963]","[0.008299999870359898, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749]","[4.610715866088867, 4.606019496917725, 4.605660438537598, 4.605635166168213, 4.605642318725586, 4.6056671142578125, 4.605642795562744]","[4.60663366317749, 4.607204914093018, 4.60752534866333, 4.607711315155029, 4.607779026031494, 4.6078715324401855, 4.608034610748291]","[1024, 512, 128]",0.001
"[0.009674999862909317, 0.010250000283122063, 0.009850000031292439, 0.010049999691545963, 0.009050000458955765, 0.009750000201165676, 0.009975000284612179]","[0.010099999606609344, 0.009399999864399433, 0.008299999870359898, 0.008700000122189522, 0.00989999994635582, 0.010300000198185444, 0.008799999952316284]","[4.796418190002441, 4.610108375549316, 4.6104607582092285, 4.610143661499023, 4.610249042510986, 4.609927177429199, 4.610143184661865]","[4.610551357269287, 4.609935283660889, 4.611372470855713, 4.611145496368408, 4.611827373504639, 4.611074447631836, 4.610706806182861]","[1024, 512, 128]",0.01
"[0.07440000027418137, 0.13689999282360077, 0.16705000400543213, 0.18995000422000885, 0.20907500386238098, 0.22544999420642853, 0.24185000360012054]","[0.10530000180006027, 0.14489999413490295, 0.1712999939918518, 0.17790000140666962, 0.1981000006198883, 0.20669999718666077, 0.210099995136261]","[4.125722885131836, 3.720926284790039, 3.5483434200286865, 3.4211626052856445, 3.3138577938079834, 3.2186155319213867, 3.129742383956909]","[3.879000663757324, 3.6735734939575195, 3.53703236579895, 3.4739725589752197, 3.3827831745147705, 3.337329387664795, 3.3166956901550293]","[1024, 512, 512]",0.0001
"[0.07079999893903732, 0.12790000438690186, 0.15760000050067902, 0.179625004529953, 0.19757500290870667, 0.210549995303154, 0.22374999523162842]","[0.10989999771118164, 0.13699999451637268, 0.16359999775886536, 0.17759999632835388, 0.18369999527931213, 0.1915999948978424, 0.19269999861717224]","[4.087241172790527, 3.7091176509857178, 3.531111001968384, 3.412094831466675, 3.309575080871582, 3.2190804481506348, 3.1426920890808105]","[3.8371803760528564, 3.647810935974121, 3.5599429607391357, 3.451810836791992, 3.424128532409668, 3.37857723236084, 3.3951823711395264]","[1024, 512, 512]",0.001
"[0.01067500002682209, 0.009875000454485416, 0.009475000202655792, 0.010374999605119228, 0.00982499960809946, 0.009399999864399433, 0.009449999779462814]","[0.007699999958276749, 0.008700000122189522, 0.00860000029206276, 0.010499999858438969, 0.008500000461935997, 0.009100000374019146, 0.009100000374019146]","[4.903911590576172, 4.610299587249756, 4.610046863555908, 4.610391616821289, 4.61075496673584, 4.610264301300049, 4.6104044914245605]","[4.61358118057251, 4.611834526062012, 4.611912727355957, 4.611495494842529, 4.609613418579102, 4.610228061676025, 4.61213493347168]","[1024, 512, 512]",0.01
"[0.08290000259876251, 0.14047500491142273, 0.17509999871253967, 0.19972500205039978, 0.21902500092983246, 0.23690000176429749, 0.25507500767707825]","[0.12229999899864197, 0.14429999887943268, 0.17599999904632568, 0.19120000302791595, 0.20509999990463257, 0.21330000460147858, 0.2240000069141388]","[4.071121692657471, 3.6720871925354004, 3.5035061836242676, 3.3646585941314697, 3.2542154788970947, 3.1487820148468018, 3.0500643253326416]","[3.79046368598938, 3.6724319458007812, 3.5085198879241943, 3.4052703380584717, 3.337514877319336, 3.321535587310791, 3.2536864280700684]","[1024, 512, 1024]",0.0001
"[0.06822499632835388, 0.12890000641345978, 0.15952500700950623, 0.1771250069141388, 0.19634999334812164, 0.20864999294281006, 0.22390000522136688]","[0.09300000220537186, 0.14839999377727509, 0.1615000069141388, 0.16609999537467957, 0.18369999527931213, 0.18080000579357147, 0.1940000057220459]","[4.097276210784912, 3.6974778175354004, 3.512948751449585, 3.395498037338257, 3.2936019897460938, 3.2084577083587646, 3.121783971786499]","[3.8849313259124756, 3.615384817123413, 3.5273070335388184, 3.49062180519104, 3.457972288131714, 3.412372589111328, 3.380770206451416]","[1024, 512, 1024]",0.001
"[0.011649999767541885, 0.009349999949336052, 0.009674999862909317, 0.008775000460445881, 0.010200000368058681, 0.009399999864399433, 0.009850000031292439]","[0.008799999952316284, 0.008700000122189522, 0.010099999606609344, 0.00839999970048666, 0.009499999694526196, 0.008700000122189522, 0.010499999858438969]","[5.123991966247559, 4.6100287437438965, 4.610424518585205, 4.610296249389648, 4.610022068023682, 4.610315322875977, 4.610111713409424]","[4.610745906829834, 4.609496116638184, 4.610538482666016, 4.612109184265137, 4.610068321228027, 4.612614154815674, 4.610034942626953]","[1024, 512, 1024]",0.01
"[0.05092500150203705, 0.11574999988079071, 0.149275004863739, 0.17305000126361847, 0.19257499277591705, 0.21160000562667847, 0.22447499632835388]","[0.08399999886751175, 0.1281999945640564, 0.1535000056028366, 0.1680999994277954, 0.18449999392032623, 0.18950000405311584, 0.20419999957084656]","[4.266472816467285, 3.842787981033325, 3.6489555835723877, 3.519726514816284, 3.4133918285369873, 3.318351984024048, 3.2372655868530273]","[3.9975340366363525, 3.7490944862365723, 3.6255979537963867, 3.5590102672576904, 3.4830214977264404, 3.425743818283081, 3.376384735107422]","[1024, 1024, 128]",0.0001
"[0.008999999612569809, 0.009100000374019146, 0.009074999950826168, 0.009975000284612179, 0.009399999864399433, 0.009349999949336052, 0.00917499978095293]","[0.008299999870359898, 0.007699999958276749, 0.007699999958276749, 0.008299999870359898, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749]","[4.608777046203613, 4.60566520690918, 4.60565185546875, 4.605649471282959, 4.6056389808654785, 4.6056318283081055, 4.605655670166016]","[4.606618881225586, 4.6072516441345215, 4.607730388641357, 4.60774564743042, 4.607846260070801, 4.607884883880615, 4.60784912109375]","[1024, 1024, 128]",0.001
"[0.008550000376999378, 0.010274999774992466, 0.009650000371038914, 0.009274999611079693, 0.009499999694526196, 0.00925000011920929, 0.009850000031292439]","[0.00860000029206276, 0.00839999970048666, 0.009700000286102295, 0.011599999852478504, 0.008799999952316284, 0.008799999952316284, 0.008700000122189522]","[4.8769612312316895, 4.610427379608154, 4.610075950622559, 4.609952926635742, 4.610143661499023, 4.610156059265137, 4.610335350036621]","[4.610466003417969, 4.6105451583862305, 4.610428333282471, 4.6096086502075195, 4.610335826873779, 4.6128363609313965, 4.610467433929443]","[1024, 1024, 128]",0.01
"[0.07787500321865082, 0.13770000636577606, 0.17057499289512634, 0.19472500681877136, 0.21712499856948853, 0.23794999718666077, 0.25745001435279846]","[0.12110000103712082, 0.149399995803833, 0.17430000007152557, 0.16990000009536743, 0.19480000436306, 0.21230000257492065, 0.22010000050067902]","[4.105709075927734, 3.699039936065674, 3.5138940811157227, 3.380441904067993, 3.2600491046905518, 3.15221905708313, 3.0554630756378174]","[3.82934308052063, 3.64050030708313, 3.5293891429901123, 3.5183043479919434, 3.3962910175323486, 3.298884868621826, 3.275118827819824]","[1024, 1024, 512]",0.0001
"[0.06105000153183937, 0.11590000241994858, 0.14315000176429749, 0.1610500067472458, 0.1777999997138977, 0.1863500028848648, 0.20080000162124634]","[0.094200000166893, 0.1225999966263771, 0.14000000059604645, 0.16339999437332153, 0.1670999974012375, 0.16979999840259552, 0.17710000276565552]","[4.143291473388672, 3.7757952213287354, 3.602254629135132, 3.4907195568084717, 3.393960952758789, 3.3318514823913574, 3.264373302459717]","[3.9211959838867188, 3.728393793106079, 3.6197352409362793, 3.5262563228607178, 3.4779856204986572, 3.477834463119507, 3.4382123947143555]","[1024, 1024, 512]",0.001
"[0.009549999609589577, 0.010274999774992466, 0.009925000369548798, 0.010425000451505184, 0.010174999944865704, 0.00930000003427267, 0.010200000368058681]","[0.009100000374019146, 0.009800000116229057, 0.009200000204145908, 0.008500000461935997, 0.008899999782443047, 0.010400000028312206, 0.009600000455975533]","[5.073073863983154, 4.668654441833496, 4.610135555267334, 4.609877109527588, 4.609866142272949, 4.6106133460998535, 4.6099982261657715]","[4.611525058746338, 4.609397888183594, 4.610419273376465, 4.610811233520508, 4.611403942108154, 4.6107354164123535, 4.609357833862305]","[1024, 1024, 512]",0.01
"[0.0843999981880188, 0.14880000054836273, 0.18240000307559967, 0.20829999446868896, 0.2303999960422516, 0.25107499957084656, 0.2730500102043152]","[0.1265999972820282, 0.16200000047683716, 0.18559999763965607, 0.20489999651908875, 0.21289999783039093, 0.218299999833107, 0.22769999504089355]","[4.052250862121582, 3.635014533996582, 3.4494218826293945, 3.3018295764923096, 3.1802725791931152, 3.0687129497528076, 2.9603893756866455]","[3.758141040802002, 3.5606281757354736, 3.4611008167266846, 3.37286639213562, 3.298927068710327, 3.2712242603302, 3.234320878982544]","[1024, 1024, 1024]",0.0001
"[0.07145000249147415, 0.13189999759197235, 0.16027499735355377, 0.17897500097751617, 0.19512499868869781, 0.20742499828338623, 0.22145000100135803]","[0.1080000028014183, 0.1354999989271164, 0.16349999606609344, 0.17470000684261322, 0.1777999997138977, 0.19009999930858612, 0.18979999423027039]","[4.078920841217041, 3.6854538917541504, 3.5105104446411133, 3.3965108394622803, 3.3006792068481445, 3.2136971950531006, 3.1336846351623535]","[3.798874616622925, 3.670008659362793, 3.5376648902893066, 3.4626588821411133, 3.4444363117218018, 3.4085774421691895, 3.419219970703125]","[1024, 1024, 1024]",0.001
"[0.00989999994635582, 0.009999999776482582, 0.009499999694526196, 0.009850000031292439, 0.00982499960809946, 0.009274999611079693, 0.00930000003427267]","[0.00989999994635582, 0.008899999782443047, 0.010499999858438969, 0.010400000028312206, 0.009800000116229057, 0.008700000122189522, 0.008999999612569809]","[5.558946132659912, 4.610378742218018, 4.610301494598389, 4.6101298332214355, 4.610435962677002, 4.610175132751465, 4.610332012176514]","[4.611002445220947, 4.610186576843262, 4.611031532287598, 4.612149715423584, 4.6106038093566895, 4.611812591552734, 4.608992099761963]","[1024, 1024, 1024]",0.01
