acc_train,acc_val,loss_train,loss_val,layers_units,learning_rate
"[0.04149999842047691, 0.09517499804496765, 0.12037499994039536, 0.13875000178813934, 0.1519249975681305, 0.16290000081062317, 0.17287500202655792]","[0.07419999688863754, 0.10980000346899033, 0.1298000067472458, 0.14300000667572021, 0.15569999814033508, 0.16019999980926514, 0.17069999873638153]","[4.366598606109619, 3.9648308753967285, 3.8137238025665283, 3.7128348350524902, 3.640131950378418, 3.579442262649536, 3.526705741882324]","[4.101328372955322, 3.895463228225708, 3.7794833183288574, 3.714045286178589, 3.649566411972046, 3.6318206787109375, 3.5708887577056885]","[128, 128, 128]",0.0001
"[0.06435000151395798, 0.11140000075101852, 0.13467499613761902, 0.14287500083446503, 0.15472500026226044, 0.16494999825954437, 0.17075000703334808]","[0.09179999679327011, 0.11890000104904175, 0.1379999965429306, 0.1371999979019165, 0.1509999930858612, 0.1550000011920929, 0.16369999945163727]","[4.134647846221924, 3.7964136600494385, 3.668567657470703, 3.595219135284424, 3.540271043777466, 3.4844343662261963, 3.4465909004211426]","[3.9140424728393555, 3.766232490539551, 3.6907272338867188, 3.645589828491211, 3.5684194564819336, 3.534806966781616, 3.518001079559326]","[128, 128, 128]",0.001
"[0.008899999782443047, 0.009150000289082527, 0.01002500019967556, 0.009575000032782555, 0.010250000283122063, 0.009150000289082527, 0.009875000454485416]","[0.008700000122189522, 0.00860000029206276, 0.008700000122189522, 0.009100000374019146, 0.010200000368058681, 0.009800000116229057, 0.010900000110268593]","[4.6367926597595215, 4.610620021820068, 4.610313415527344, 4.609720230102539, 4.610584259033203, 4.610408782958984, 4.61033296585083]","[4.611886501312256, 4.611262321472168, 4.611108303070068, 4.6136884689331055, 4.6099162101745605, 4.6092047691345215, 4.610727310180664]","[128, 128, 128]",0.01
"[0.061650000512599945, 0.11595000326633453, 0.14627499878406525, 0.1618250012397766, 0.17710000276565552, 0.18927499651908875, 0.20137499272823334]","[0.08889999985694885, 0.13019999861717224, 0.15479999780654907, 0.16459999978542328, 0.16680000722408295, 0.18039999902248383, 0.19189999997615814]","[4.207084655761719, 3.8220784664154053, 3.66617488861084, 3.5689468383789062, 3.4878182411193848, 3.4160375595092773, 3.3598380088806152]","[3.9694793224334717, 3.7552847862243652, 3.647787094116211, 3.5843496322631836, 3.5503313541412354, 3.505762815475464, 3.4239742755889893]","[128, 128, 512]",0.0001
"[0.059174999594688416, 0.09592500329017639, 0.11502499878406525, 0.1236250028014183, 0.13165000081062317, 0.13580000400543213, 0.14124999940395355]","[0.0803999975323677, 0.11320000141859055, 0.11699999868869781, 0.1193000003695488, 0.1281999945640564, 0.12600000202655792, 0.12690000236034393]","[4.135495662689209, 3.884532928466797, 3.7584152221679688, 3.689842939376831, 3.646298885345459, 3.61095929145813, 3.5778374671936035]","[3.9631330966949463, 3.8044967651367188, 3.746293067932129, 3.720287799835205, 3.6939735412597656, 3.7099733352661133, 3.7058675289154053]","[128, 128, 512]",0.001
"[0.0101500004529953, 0.009674999862909317, 0.008999999612569809, 0.00977499969303608, 0.009650000371038914, 0.009999999776482582, 0.008899999782443047]","[0.01080000028014183, 0.008700000122189522, 0.009100000374019146, 0.00860000029206276, 0.00839999970048666, 0.009800000116229057, 0.00860000029206276]","[4.657777309417725, 4.610412120819092, 4.610651016235352, 4.610100269317627, 4.610208034515381, 4.610290050506592, 4.610284328460693]","[4.6099371910095215, 4.611353397369385, 4.6113505363464355, 4.61160135269165, 4.611912727355957, 4.611153602600098, 4.613008975982666]","[128, 128, 512]",0.01
"[0.07150000333786011, 0.1296750009059906, 0.1554500013589859, 0.178275004029274, 0.19352500140666962, 0.20604999363422394, 0.21694999933242798]","[0.11309999972581863, 0.1429000049829483, 0.16500000655651093, 0.16940000653266907, 0.18359999358654022, 0.18700000643730164, 0.20100000500679016]","[4.1400556564331055, 3.7466371059417725, 3.595400333404541, 3.483222246170044, 3.399836301803589, 3.3259952068328857, 3.260275363922119]","[3.8649518489837646, 3.6867432594299316, 3.5624334812164307, 3.525219202041626, 3.4578206539154053, 3.429279327392578, 3.349622964859009]","[128, 128, 1024]",0.0001
"[0.05999999865889549, 0.10625000298023224, 0.1274999976158142, 0.1391250044107437, 0.15262499451637268, 0.15489999949932098, 0.16372500360012054]","[0.09009999781847, 0.11180000007152557, 0.13109999895095825, 0.13420000672340393, 0.13989999890327454, 0.15279999375343323, 0.13940000534057617]","[4.150910377502441, 3.8002965450286865, 3.675535202026367, 3.5974483489990234, 3.5318195819854736, 3.482283115386963, 3.43365478515625]","[3.9061882495880127, 3.7676711082458496, 3.6665921211242676, 3.6329760551452637, 3.622220754623413, 3.5787975788116455, 3.628065347671509]","[128, 128, 1024]",0.001
"[0.00977499969303608, 0.009724999777972698, 0.009975000284612179, 0.010850000195205212, 0.010125000029802322, 0.009025000035762787, 0.010075000114738941]","[0.008500000461935997, 0.009200000204145908, 0.009600000455975533, 0.010400000028312206, 0.010599999688565731, 0.01140000019222498, 0.009499999694526196]","[4.648807048797607, 4.676673889160156, 4.6100850105285645, 4.610347747802734, 4.610645294189453, 4.610212326049805, 4.610285758972168]","[4.611217021942139, 4.610819339752197, 4.610555648803711, 4.609375, 4.611489295959473, 4.61110782623291, 4.612523078918457]","[128, 128, 1024]",0.01
"[0.051249999552965164, 0.10477499663829803, 0.1332249939441681, 0.15049999952316284, 0.16625000536441803, 0.17992499470710754, 0.19110000133514404]","[0.0843999981880188, 0.11710000038146973, 0.1348000019788742, 0.15360000729560852, 0.16769999265670776, 0.17350000143051147, 0.1835000067949295]","[4.307422161102295, 3.9148738384246826, 3.7534327507019043, 3.6446211338043213, 3.5598151683807373, 3.4865469932556152, 3.4226527214050293]","[4.039608478546143, 3.8411855697631836, 3.740365743637085, 3.6445696353912354, 3.5871899127960205, 3.5414440631866455, 3.493926525115967]","[128, 512, 128]",0.0001
"[0.026374999433755875, 0.048250000923871994, 0.0697999969124794, 0.07904999703168869, 0.08164999634027481, 0.08367499709129333, 0.08495000004768372]","[0.04320000112056732, 0.06539999693632126, 0.07729999721050262, 0.07989999651908875, 0.0778999999165535, 0.08579999953508377, 0.08649999648332596]","[4.356124401092529, 4.171584606170654, 4.009805679321289, 3.962387800216675, 3.938610553741455, 3.921638250350952, 3.9117343425750732]","[4.248019695281982, 4.061481475830078, 3.9848296642303467, 3.956190347671509, 3.949389934539795, 3.949326515197754, 3.928209066390991]","[128, 512, 128]",0.001
"[0.009624999947845936, 0.009975000284612179, 0.009600000455975533, 0.010350000113248825, 0.009499999694526196, 0.009650000371038914, 0.010374999605119228]","[0.008299999870359898, 0.008500000461935997, 0.00989999994635582, 0.010599999688565731, 0.008999999612569809, 0.008799999952316284, 0.010200000368058681]","[4.640173435211182, 4.610596179962158, 4.610483646392822, 4.610224723815918, 4.610124111175537, 4.610462665557861, 4.610293865203857]","[4.609131813049316, 4.609803676605225, 4.611070156097412, 4.610074043273926, 4.610418796539307, 4.612163066864014, 4.611644268035889]","[128, 512, 128]",0.01
